term,term_translation,lang_code
https://www.iana.org/assignments/media-types/application/1d-interleaved-parityfec,application/1d-interleaved-parityfec,en
https://www.iana.org/assignments/media-types/application/3gpdash-qoe-report+xml,application/3gpdash-qoe-report+xml,en
https://www.iana.org/assignments/media-types/application/3gppHal+json,application/3gppHal+json,en
https://www.iana.org/assignments/media-types/application/3gppHalForms+json,application/3gppHalForms+json,en
https://www.iana.org/assignments/media-types/application/3gpp-ims+xml,application/3gpp-ims+xml,en
https://www.iana.org/assignments/media-types/application/3gpp-mbs-object-manifest+json,application/3gpp-mbs-object-manifest+json,en
https://www.iana.org/assignments/media-types/application/3gpp-mbs-user-service-descriptions+json,application/3gpp-mbs-user-service-descriptions+json,en
https://www.iana.org/assignments/media-types/application/3gpp-media-delivery-metrics-report+json,application/3gpp-media-delivery-metrics-report+json,en
https://www.iana.org/assignments/media-types/application/A2L,application/A2L,en
https://www.iana.org/assignments/media-types/application/ace-groupcomm+cbor,application/ace-groupcomm+cbor,en
https://www.iana.org/assignments/media-types/application/ace-trl+cbor,application/ace-trl+cbor,en
https://www.iana.org/assignments/media-types/application/ace+cbor,application/ace+cbor,en
https://www.iana.org/assignments/media-types/application/ace+json,application/ace+json,en
https://www.iana.org/assignments/media-types/application/activemessage,application/activemessage,en
https://www.iana.org/assignments/media-types/application/activity+json,application/activity+json,en
https://www.iana.org/assignments/media-types/application/aif+cbor,application/aif+cbor,en
https://www.iana.org/assignments/media-types/application/aif+json,application/aif+json,en
https://www.iana.org/assignments/media-types/application/alto-cdni+json,application/alto-cdni+json,en
https://www.iana.org/assignments/media-types/application/alto-cdnifilter+json,application/alto-cdnifilter+json,en
https://www.iana.org/assignments/media-types/application/alto-costmap+json,application/alto-costmap+json,en
https://www.iana.org/assignments/media-types/application/alto-costmapfilter+json,application/alto-costmapfilter+json,en
https://www.iana.org/assignments/media-types/application/alto-directory+json,application/alto-directory+json,en
https://www.iana.org/assignments/media-types/application/alto-endpointprop+json,application/alto-endpointprop+json,en
https://www.iana.org/assignments/media-types/application/alto-endpointpropparams+json,application/alto-endpointpropparams+json,en
https://www.iana.org/assignments/media-types/application/alto-endpointcost+json,application/alto-endpointcost+json,en
https://www.iana.org/assignments/media-types/application/alto-endpointcostparams+json,application/alto-endpointcostparams+json,en
https://www.iana.org/assignments/media-types/application/alto-error+json,application/alto-error+json,en
https://www.iana.org/assignments/media-types/application/alto-networkmapfilter+json,application/alto-networkmapfilter+json,en
https://www.iana.org/assignments/media-types/application/alto-networkmap+json,application/alto-networkmap+json,en
https://www.iana.org/assignments/media-types/application/alto-propmap+json,application/alto-propmap+json,en
https://www.iana.org/assignments/media-types/application/alto-propmapparams+json,application/alto-propmapparams+json,en
https://www.iana.org/assignments/media-types/application/alto-tips+json,application/alto-tips+json,en
https://www.iana.org/assignments/media-types/application/alto-tipsparams+json,application/alto-tipsparams+json,en
https://www.iana.org/assignments/media-types/application/alto-updatestreamcontrol+json,application/alto-updatestreamcontrol+json,en
https://www.iana.org/assignments/media-types/application/alto-updatestreamparams+json,application/alto-updatestreamparams+json,en
https://www.iana.org/assignments/media-types/application/AML,application/AML,en
https://www.iana.org/assignments/media-types/application/andrew-inset,application/andrew-inset,en
https://www.iana.org/assignments/media-types/application/applefile,application/applefile,en
https://www.iana.org/assignments/media-types/application/asyncapi+json,application/asyncapi+json,en
https://www.iana.org/assignments/media-types/application/asyncapi+yaml,application/asyncapi+yaml,en
https://www.iana.org/assignments/media-types/application/at+jwt,application/at+jwt,en
https://www.iana.org/assignments/media-types/application/ATF,application/ATF,en
https://www.iana.org/assignments/media-types/application/ATFX,application/ATFX,en
https://www.iana.org/assignments/media-types/application/atom+xml,application/atom+xml,en
https://www.iana.org/assignments/media-types/application/atomcat+xml,application/atomcat+xml,en
https://www.iana.org/assignments/media-types/application/atomdeleted+xml,application/atomdeleted+xml,en
https://www.iana.org/assignments/media-types/application/atomicmail,application/atomicmail,en
https://www.iana.org/assignments/media-types/application/atomsvc+xml,application/atomsvc+xml,en
https://www.iana.org/assignments/media-types/application/atsc-dwd+xml,application/atsc-dwd+xml,en
https://www.iana.org/assignments/media-types/application/atsc-dynamic-event-message,application/atsc-dynamic-event-message,en
https://www.iana.org/assignments/media-types/application/atsc-held+xml,application/atsc-held+xml,en
